,GSM4251054,GSM4251055,GSM4251056,GSM4251057,GSM4251058,GSM4251059,GSM4251060,GSM4251061,GSM4251062,GSM4251063,GSM4251064,GSM4251065,GSM4251066,GSM4251067,GSM4251068,GSM4251069,GSM4251070,GSM4251071,GSM4251072,GSM4251073,GSM4251074,GSM4251075,GSM4251076,GSM4251077,GSM4251078,GSM4251079,GSM4251080,GSM4251081,GSM4251082,GSM4251083
ABCC2,0.122540827,0.160309422,0.160114328,0.13563739,0.129895319,0.087622327,0.104470058,0,0.203288067,0.106649724,0.090966092,0.107423027,0.179507831,0.114523207,0.105683694,0.138338832,0.196968159,0.191365205,0.156238829,0.1557882,0.129376104,0.20192061,0.164556724,0.141078167,0.162551905,0.181884063,0.148497246,0.153235325,0.200251834,0.148118995
ABCD1,0.595877766,0.614212726,0.542631049,0.523394802,0.523603106,0.587568011,0.396429197,0.385068802,0.340767756,0.384798076,0.425605647,0.345341002,0.398246151,0.373118404,0.420609018,0.437244317,0.437081487,0.417168409,0.421384563,0.430032196,0.457011471,0.421626446,0.411930391,0.437112386,0.407264239,0.360480023,0.33963599,0.339791393,0.409911153,0.3718149
ABL1,0.764459011,0.778803212,0.738970472,0.708200851,0.725057993,0.786217156,0.715299182,0.729130778,0.792298382,0.812271902,0.811162701,0.793564463,0.803529366,0.799374999,0.76627369,0.77037141,0.828691047,0.82718167,0.826468364,0.835689859,0.772566339,0.76691405,0.745099524,0.760593782,0.732800899,0.786921052,0.753114961,0.712680736,0.788024186,0.77414037
ACOX2,0.194681415,0.266198576,0.2678531,0.246400307,0.217459948,0.239859198,0.419868228,0.405907004,0.325302369,0.309924262,0.348311764,0.321086665,0.324976387,0.358326301,0.462004523,0.501023199,0.183525566,0.120791899,0.131527651,0.137681144,0.192496211,0.187417408,0.187583508,0.170530054,0.201082573,0.08729924,0.055959309,0.087462323,0.102228003,0.106783164
ADA,0.593930824,0.59542379,0.583661727,0.593643421,0.597677816,0.584062872,0.581185526,0.566424371,0.434530085,0.45848908,0.457850601,0.435539226,0.442345678,0.432135655,0.471679931,0.484331929,0.435793771,0.440012814,0.460797788,0.48009851,0.448955336,0.457096507,0.411930391,0.461739386,0.433516093,0.280604915,0.246087866,0.313243983,0.307957158,0.308685819
ADAM9,0.754662784,0.765663903,0.806243497,0.766543396,0.782282417,0.781581116,0.798347284,0.825655006,0.843734745,0.801620349,0.797353837,0.811848209,0.788650683,0.821858979,0.731120389,0.770001129,0.745019651,0.71727779,0.76727349,0.752679594,0.776800599,0.791888586,0.81381332,0.764113355,0.791107797,0.766756852,0.76871437,0.737373194,0.807519595,0.804068629
ADIPOQ,0,0,0,0,0,0,0,0,0.015270017,0.014821159,0,0.016538318,0,0,0,0,0,0,0,0,0,0.032031559,0.017696678,0,0,0.030556058,0.016080038,0.130285793,0.059716809,0.034662395
ADNP2,0.561185723,0.546693444,0.548773224,0.543744306,0.555409661,0.58107757,0.406647163,0.427762539,0.649526735,0.640539935,0.640310487,0.653226403,0.63914864,0.64809315,0.436027666,0.426480811,0.645641015,0.628625917,0.646897687,0.642361105,0.624980951,0.632793175,0.656623733,0.640087316,0.630990134,0.633310051,0.621955955,0.596177321,0.626784295,0.626669593
AGAP3,0.750062636,0.755440524,0.722794573,0.702825665,0.705600944,0.741681008,0.577153826,0.567119563,0.699631701,0.718934577,0.72224828,0.721026921,0.744399159,0.721357466,0.61546211,0.630772377,0.745505557,0.762079474,0.749282791,0.752161912,0.706235686,0.701199354,0.675310196,0.707777826,0.668472922,0.730045994,0.682460205,0.673997203,0.698482309,0.702629643
AIF1,0,0,0.028936249,0,0,0.027183286,0,0,0,0,0,0,0.015038441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIFM2,0.376094588,0.386915685,0.347779412,0.351671979,0.386047954,0.403526858,0.486507512,0.495478005,0.30181532,0.336576313,0.343704656,0.303925374,0.303911075,0.281564839,0.537104825,0.534246223,0.408939598,0.410864581,0.385766683,0.386338603,0.341933879,0.32591442,0.306207878,0.323580786,0.322113059,0.290575084,0.272826608,0.301927257,0.357004319,0.333519467
AKR1C3,0.066939434,0.051636806,0.073981892,0.077785716,0.034538591,0,0.535744184,0.510917467,0.015270017,0.02830017,0.040861843,0.068807235,0.015038441,0.075609228,0.632067303,0.598482687,0.074372565,0.077437637,0.084511987,0.042001055,0.01764614,0,0,0.015911162,0.029593559,0.120945484,0.128402873,0.153235325,0.102228003,0.132931988
AKT1,0.761307133,0.769235536,0.756175139,0.738724393,0.738760649,0.764643223,0.760256051,0.75590804,0.781182178,0.80254953,0.806491273,0.802467463,0.813266808,0.80732553,0.748163299,0.742826879,0.787010971,0.800531481,0.808964432,0.82463358,0.815184444,0.81158893,0.779673831,0.811760922,0.77624714,0.841171682,0.805634183,0.811257013,0.841889658,0.835912324
ALAD,0.509109114,0.519140542,0.510571103,0.47948185,0.499835699,0.53558727,0.616440289,0.586291503,0.552956315,0.55150674,0.549221495,0.552035721,0.57249041,0.521901568,0.605531889,0.632181772,0.567143429,0.582994509,0.567986338,0.560330278,0.488329804,0.470587101,0.446599348,0.464735574,0.45115,0.56533073,0.550703612,0.515113277,0.522742496,0.520672544
ALDH3B1,0.230133654,0.269604216,0.198361542,0.142333334,0.187565892,0.261971754,0.598497662,0.578787909,0.14944685,0.152221713,0.215934431,0.224795698,0.153684089,0.192660674,0.604057661,0.585631961,0.11285418,0.104930551,0.150434636,0.181795976,0.121301058,0.125325945,0.151554434,0.127446971,0.110439543,0.030556058,0,0.027123288,0,0.018337165
ALOX5,0.052810072,0.089908058,0.015169656,0.030663945,0.023891396,0.050163154,0,0,0,0,0.014901195,0,0,0.022789877,0,0,0.022350308,0,0,0,0,0,0,0,0,0,0.016080038,0,0,0
ANGPTL7,0.188850677,0.262713248,0.2678531,0.270405342,0.234503535,0.220813243,0,0,0.029119202,0.02830017,0.052321656,0.044953727,0.041207486,0.042551251,0,0,0.133902926,0.104930551,0.064841261,0.101542007,0.01764614,0.016875121,0,0.015911162,0.015530492,0.030556058,0.04381506,0.050060298,0,0.062762088
ANKRD2,0.019757513,0.019270386,0.015169656,0.016119626,0.012424177,0.027183286,0.070926887,0.014848917,0,0.040660056,0.040861843,0.031422565,0.063458855,0.059995422,0,0.015461264,0,0,0.015422408,0.029272717,0.01764614,0,0,0.030285587,0,0.016060159,0,0,0,0.018337165
ANKZF1,0.608837234,0.612874487,0.604370253,0.605499522,0.597208282,0.616828969,0.464106529,0.464402405,0.707768362,0.678090032,0.658527986,0.705601377,0.694744673,0.68101127,0.560284832,0.575380967,0.666548639,0.682341612,0.644984302,0.633887792,0.565840898,0.557268237,0.571235557,0.534039342,0.521230339,0.604928707,0.594837912,0.570103035,0.554311816,0.552527949
ANXA1,1.021355165,1.025505038,1.104443694,1.107107356,1.088942711,1.006860129,1.020121389,1.004109343,0.739660488,0.769676149,0.796386089,0.7203341,0.732381771,0.758618075,0.967905227,0.962584084,0.82617208,0.805089506,0.850006315,0.826974243,0.92569315,0.943201352,0.945645708,0.931821534,0.950708563,0.953621099,0.949709448,0.953755776,0.988687737,1.007267215
APEX1,0.822760572,0.826932809,0.848286876,0.846693136,0.83217001,0.814663375,0.766998067,0.752050433,0.861383202,0.864116716,0.871503734,0.866981513,0.865490028,0.868011765,0.78829664,0.787059636,0.830803739,0.828357768,0.843208337,0.844371044,0.833940072,0.845421449,0.842228616,0.842791543,0.837057825,0.830829563,0.826795345,0.840411836,0.817720255,0.832010455
APOA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016060159,0,0,0,0.018337165
APOD,0,0,0.015169656,0.016119626,0,0,0.433667501,0.426876089,0.015270017,0.014821159,0.07289357,0.044953727,0.015038441,0.042551251,0.414389111,0.446471074,0.022350308,0,0.042171919,0.042001055,0,0,0,0,0,0.016060159,0,0.027123288,0,0
APOE,0.958706595,0.951908278,0.963198406,0.952986732,0.928957137,0.948643168,0.050818699,0.152409212,0.571055892,0.603258973,0.637732931,0.559579198,0.612138146,0.583516851,0.097027407,0.1100731,0.500785399,0.462873954,0.529281241,0.504415616,0.678846625,0.650810012,0.645952644,0.644366924,0.572953465,0.283160714,0.249307147,0.367451913,0.369810576,0.333519467
APP,1.025304777,1.03697023,1.031335291,0.989024779,1.00483081,1.042446897,1.015420568,1.073865082,1.052273412,1.03307124,1.033685754,1.03057679,1.048555399,1.041822843,1.047069561,1.066517819,1.023916152,1.023933785,1.032167801,1.030148383,1.00160576,1.014371772,1.007342414,0.995798267,0.98677145,0.995530249,0.988148336,0.962141232,0.99263036,0.983821401
APTX,0.566933103,0.584042602,0.579477475,0.588492528,0.556340662,0.573658857,0.532385698,0.515890842,0.556065695,0.560456818,0.553858656,0.573236218,0.5575255,0.584979397,0.570649,0.573312748,0.591765595,0.580953018,0.595433414,0.583281065,0.566677861,0.572566215,0.569602792,0.571694964,0.573302641,0.550934505,0.54556324,0.570103035,0.55475566,0.549143848
AQP1,0.596649473,0.596177553,0.591392287,0.596153578,0.610687804,0.632997204,0.392137326,0.382695665,0.218874139,0.229300362,0.212210715,0.199570923,0.279368238,0.228512999,0.468769255,0.437244317,0.357685623,0.381282746,0.357670711,0.344773924,0.112763046,0.159583775,0.094273532,0.159437905,0.110439543,0.055898462,0.077628646,0.027123288,0.046879712,0.106783164
ARG1,0,0,0,0.016119626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016080038,0,0,0
ARL6IP5,0.69795306,0.717089338,0.759526368,0.783572406,0.750554293,0.715504057,0.718376088,0.742427112,0.622830328,0.589022559,0.597422613,0.61378603,0.626018304,0.594833851,0.756378722,0.747965238,0.680941167,0.673037624,0.662905037,0.658570236,0.592652547,0.603232384,0.617010042,0.602904377,0.59710436,0.666317944,0.674056099,0.671066821,0.667010412,0.672995032
ARNT,0.554698484,0.571275688,0.583025597,0.523901034,0.570214255,0.58227888,0.593511953,0.582274037,0.608122691,0.588723481,0.591335966,0.598549025,0.575510532,0.604502779,0.591384868,0.61139142,0.592670634,0.612066692,0.591195909,0.591127593,0.591243783,0.592249325,0.625425935,0.593522743,0.59799349,0.569094564,0.568539468,0.524198541,0.549340208,0.562242052
ARNTL,0.540809491,0.534124436,0.530893493,0.537419106,0.549698044,0.533111378,0.441684935,0.508880673,0.408974481,0.390569761,0.435190818,0.389685804,0.389243817,0.398913059,0.375956155,0.410801231,0.443358203,0.408702595,0.421384563,0.413857202,0.458744058,0.452027576,0.453914935,0.434410047,0.467626286,0.306562317,0.33963599,0.271605704,0.348402635,0.315879396
ATF4,0.972351668,0.986383029,1.012083927,1.005228572,0.991098281,0.964122622,0.961336628,0.949524436,0.982506333,0.987390003,0.982112818,0.979766191,0.976648872,0.964126759,1.020360824,1.019053587,0.998489815,0.999584444,0.99520947,0.990696861,0.970417597,0.99384443,0.96132715,0.958787049,0.945095441,0.93656688,0.919459395,0.954934094,0.947026503,0.962037642
ATG7,0.47845366,0.471208494,0.504756377,0.493756491,0.479005409,0.435571473,0.483000217,0.455869464,0.448627416,0.476705477,0.450419881,0.44376521,0.45776254,0.464819099,0.517791178,0.537812738,0.461831982,0.454306294,0.460059151,0.472837562,0.436491038,0.465179285,0.427633354,0.455559914,0.408323692,0.435795385,0.421670394,0.450442752,0.41565824,0.406132804
ATOX1,0.626537571,0.600621747,0.591993743,0.586514077,0.599772593,0.59489084,0.668661389,0.616291749,0.53766567,0.579459949,0.605169584,0.555435623,0.576833402,0.547689273,0.602568697,0.58848055,0.583362847,0.577837342,0.618089626,0.61272023,0.557201978,0.571027916,0.533559499,0.568773188,0.523196168,0.550934505,0.544688997,0.608684376,0.532317909,0.572619602
ATP13A2,0.671574455,0.669959833,0.616816554,0.579374932,0.6196489,0.696206076,0.499764959,0.525823835,0.771903524,0.76976497,0.78163891,0.773983145,0.78705361,0.782075127,0.422625914,0.452058386,0.737704698,0.736914418,0.729425029,0.742522137,0.667413293,0.649674368,0.609352607,0.656718558,0.600919504,0.704961802,0.674973027,0.665369263,0.683762512,0.688548084
ATP2A2,0.891627003,0.90901231,0.880908918,0.849104312,0.884220346,0.907434653,0.919464843,0.929590206,0.886360561,0.863455424,0.859680276,0.875943325,0.883847063,0.892940002,0.862755114,0.877853509,0.903699298,0.907775627,0.905103109,0.906596371,0.906267268,0.903776363,0.918572321,0.901778472,0.900992845,0.906862827,0.904885417,0.855355216,0.915324269,0.901159718
ATP7A,0.414634809,0.352616059,0.384585358,0.399363754,0.442679423,0.418625142,0.315564412,0.350807884,0.345585542,0.344496564,0.318253623,0.321086665,0.3402391,0.341901688,0.318080933,0.36094634,0.339093116,0.361728366,0.326684587,0.362813302,0.367844535,0.391344722,0.417730463,0.390300897,0.436166671,0.404540192,0.430419596,0.416481362,0.40873464,0.396913233
ATRN,0.663689316,0.679713065,0.660345547,0.618100998,0.645401858,0.672732443,0.647301801,0.685909065,0.740331845,0.701881705,0.697442404,0.729752089,0.715074545,0.721163142,0.695164384,0.696945558,0.720376518,0.713386134,0.709311687,0.710966665,0.691464195,0.697110587,0.715262003,0.692515944,0.678957282,0.711818161,0.700453028,0.666729603,0.695238795,0.65729201
AXL,0.786562277,0.779023688,0.713532539,0.724965555,0.775406173,0.783607806,0.822486378,0.845434499,0.66966714,0.655033693,0.673740964,0.678059702,0.666039014,0.672092839,0.813263957,0.80821427,0.684392991,0.645316942,0.706648305,0.698863557,0.75828473,0.770299999,0.726983908,0.782682975,0.774088413,0.745944776,0.727051225,0.710172987,0.783989437,0.782638809
BAD,0.569725719,0.583224687,0.566526116,0.586181766,0.55726588,0.533111378,0.580264772,0.567119563,0.565745033,0.613489726,0.633558331,0.589134897,0.59185411,0.589753371,0.622955595,0.59935953,0.571366834,0.582656197,0.594535471,0.59325253,0.556756595,0.548537778,0.514631206,0.565416197,0.511521098,0.620979584,0.543809592,0.653645573,0.610026836,0.613619547
BAG5,0.604154319,0.576084878,0.554672131,0.570404212,0.586485393,0.578031213,0.558775133,0.558921992,0.637334105,0.632950076,0.636863737,0.636402194,0.617996258,0.624018008,0.542576613,0.532430424,0.643731986,0.62662241,0.613931167,0.614298725,0.625544174,0.61775948,0.638388738,0.624947228,0.647343643,0.615909609,0.637551821,0.601516775,0.62732982,0.607798009
BAK1,0.570645076,0.582402256,0.574498759,0.58551491,0.573834012,0.571744975,0.448549258,0.444466327,0.449416546,0.487128182,0.499884762,0.482672206,0.45480418,0.461522178,0.405670049,0.393274902,0.480197705,0.477291228,0.496641897,0.467325307,0.509979641,0.525750681,0.49156296,0.531218703,0.492989581,0.518196664,0.476362163,0.518814139,0.530764144,0.546180713
BCL2,0.431881754,0.416042009,0.379673975,0.399363754,0.415851973,0.420409206,0.174936009,0.265066138,0.637556843,0.627743251,0.617826953,0.640017777,0.600807366,0.642594095,0.240245035,0.275561607,0.412005416,0.433703898,0.463716246,0.444621567,0.471133366,0.512041734,0.502258654,0.504237805,0.515172226,0.469073814,0.456349851,0.37956765,0.406353366,0.3885295
BECN1,0.633909456,0.643998901,0.618081435,0.629967238,0.621057985,0.639655773,0.677573465,0.644380365,0.620851649,0.629119198,0.640523284,0.609171405,0.629526601,0.63377035,0.663592096,0.668697767,0.637853563,0.644648266,0.663661974,0.636841118,0.57200641,0.564306897,0.589548468,0.569509022,0.559422414,0.612616262,0.603651498,0.570749257,0.614247669,0.604799637
BMP7,0.669700885,0.670417295,0.651756849,0.646607015,0.653029705,0.66400705,0,0.014848917,0.885562588,0.880058024,0.886182008,0.893528745,0.883216934,0.894040664,0.016184238,0,0.568741271,0.550244579,0.635030381,0.621700839,0.773506176,0.750819452,0.756760629,0.78657953,0.762505488,0.507911513,0.496445795,0.495089687,0.572688426,0.536388587
BNIP3,0.474136979,0.458503456,0.459060629,0.480161252,0.443341473,0.452224613,0.579338291,0.562898892,0.637779247,0.617984603,0.614318963,0.644012072,0.591556141,0.586907385,0.519369072,0.525416958,0.496545559,0.520521301,0.503987726,0.488855576,0.456137562,0.475805449,0.427633354,0.465475299,0.460362119,0.491329258,0.502386569,0.524198541,0.484774079,0.484690214
BRF2,0.459417628,0.489212581,0.486423003,0.51980217,0.50384984,0.461928125,0.38994411,0.380284107,0.445428415,0.477970211,0.449656007,0.468304739,0.455549296,0.426620538,0.417531527,0.425547735,0.445796659,0.440012814,0.438591143,0.440476884,0.451689413,0.465963954,0.431831801,0.466211368,0.451939814,0.467611877,0.481139674,0.50240806,0.492375271,0.501088858
BTK,0.091719039,0.078210496,0.04153749,0.030663945,0.044475255,0.07006715,0,0,0.015270017,0.040660056,0,0,0.015038441,0,0,0,0.101097983,0.043695247,0.042171919,0.042001055,0,0,0,0,0,0,0,0.050060298,0,0.018337165
C19orf12,0.521720553,0.542979112,0.507956149,0.537879922,0.538969643,0.542777209,0.558062135,0.522117514,0.548572091,0.569581904,0.580603961,0.558348183,0.57215103,0.556167193,0.551693712,0.538691182,0.589478645,0.586005225,0.592418976,0.584883785,0.548503234,0.553837209,0.552668664,0.559254768,0.540246487,0.588576559,0.584801548,0.573306471,0.592180176,0.582711854
CA3,0.243075819,0.222471402,0.2678531,0.278495603,0.231794944,0.233777165,0,0.014848917,0.074387217,0.098832148,0.121621997,0.08936298,0.115300784,0.102646686,0,0.015461264,0.022350308,0.096317994,0.101885507,0.029272717,0.273743213,0.248933612,0.28560326,0.257202539,0.262747752,0.120945484,0.121053591,0.087462323,0.127664528,0.140718956
CAMKK2,0.562643491,0.571275688,0.544706709,0.517709652,0.552581226,0.576173039,0.616440289,0.638484748,0.585623808,0.589321039,0.611244927,0.585402391,0.598832184,0.587862102,0.605824991,0.601385646,0.635164569,0.63941952,0.650858103,0.648101539,0.608908398,0.604472843,0.595529747,0.600241006,0.576066971,0.60047994,0.606284002,0.557964336,0.586201492,0.579556115
CAPN2,0.967228262,0.971236018,0.96031484,0.990133643,0.981256752,0.970659918,0.948418527,0.950135354,0.81858436,0.836605011,0.854462722,0.824379679,0.834444474,0.827010913,0.890220039,0.891538716,0.883746153,0.874305272,0.899977447,0.894695418,0.902155059,0.908021722,0.897470966,0.90287871,0.911655662,0.865412122,0.859799797,0.844572941,0.886471501,0.893801389
CASP3,0.789015554,0.786332099,0.821013829,0.866194422,0.824752889,0.774838269,0.564016533,0.580382634,0.648909301,0.631384569,0.637732931,0.642145738,0.656128633,0.641602244,0.545238933,0.545119402,0.703361426,0.691588312,0.683430656,0.662408548,0.717263594,0.725689921,0.730926603,0.729598447,0.74898337,0.609248453,0.635897424,0.612630437,0.590446511,0.580747365
CAT,0.441999738,0.481297522,0.494145009,0.48083757,0.449171124,0.460580013,0.643323173,0.625475614,0.577854744,0.579778197,0.588045614,0.590469313,0.576173435,0.577007771,0.622694361,0.6381396,0.493942493,0.50017472,0.514625794,0.520971531,0.484756649,0.491767936,0.503543191,0.510911926,0.492390391,0.419471556,0.428519256,0.38859724,0.417896394,0.3885295
CBX8,0.330997812,0.322827553,0.294424998,0.300422963,0.295350972,0.320655569,0.283159381,0.265066138,0.437116783,0.435234716,0.430910222,0.46214588,0.443155618,0.417945006,0.340547667,0.369368845,0.449381094,0.475215602,0.373045623,0.430032196,0.378548947,0.373531139,0.369835642,0.387836083,0.355690773,0.407868171,0.341362614,0.320337395,0.37874086,0.368563592
CCL19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNA2,0.544131503,0.539719978,0.591693319,0.606663835,0.574656995,0.513576364,0.555175517,0.561104362,0.556833003,0.528708488,0.532630611,0.558348183,0.560126401,0.59022246,0.329737469,0.307698665,0.443358203,0.483350018,0.510461284,0.481381483,0.667413293,0.66276201,0.706027989,0.68611252,0.725324443,0.5664699,0.615284326,0.56748974,0.562946738,0.579156905
CCR7,0,0,0.04153749,0.043913628,0.070836273,0.050163154,0,0,0.015270017,0.014821159,0,0.031422565,0,0,0,0,0.074372565,0.055812052,0.14439508,0.101542007,0.349295783,0.351617403,0.338516991,0.398620068,0.363022889,0.252299656,0.205145679,0.245411812,0.26825475,0.281838432
CCS,0.481819141,0.492264482,0.466212197,0.463692877,0.443341473,0.483155627,0.480013038,0.425984332,0.431897674,0.445759985,0.420105174,0.457353648,0.467677251,0.429403619,0.525518632,0.542154052,0.435793771,0.470256949,0.437733417,0.465204462,0.450783618,0.435695604,0.41427759,0.438887089,0.389200222,0.460078895,0.431360752,0.448989586,0.45243804,0.426400759
CD36,0.205699852,0.197369281,0.218079218,0.267607907,0.252198457,0.173364088,0.027566083,0.121315289,0.015270017,0.040660056,0.052321656,0.044953727,0,0.022789877,0.078041809,0.015461264,0.041780481,0.077437637,0.015422408,0,0.060701339,0.016875121,0.094273532,0.055441862,0.054270997,0,0.055959309,0.027123288,0,0
CD38,0.155686418,0.21777803,0.136540515,0.217769414,0.214419645,0.182397393,0,0,0.092728487,0.052072489,0.062962467,0.031422565,0.091623841,0.059995422,0,0,0.041780481,0.055812052,0.084511987,0.042001055,0.060701339,0.058379389,0.060852697,0.076957212,0.065228733,0.016060159,0.055959309,0.027123288,0.01731824,0.034662395
CDK2,0.561185723,0.556331879,0.557346998,0.539709061,0.541383397,0.530593637,0.540644066,0.577822814,0.610009075,0.613235989,0.617826953,0.629664407,0.645511611,0.635162338,0.417531527,0.377340499,0.479234673,0.491688221,0.564721697,0.569797854,0.69920449,0.683034919,0.67929367,0.708356942,0.686158796,0.614546219,0.635182733,0.573306471,0.613950115,0.634315493
CFLAR,0.573818865,0.582814039,0.565812246,0.556456378,0.595076871,0.610034781,0.599041468,0.568843481,0.348712953,0.307965765,0.346791839,0.327044522,0.309957826,0.305560014,0.636660581,0.626219227,0.429182717,0.430916076,0.476847801,0.451022146,0.435487617,0.472096805,0.473142962,0.428853692,0.48052237,0.480279831,0.475666979,0.451881878,0.493716579,0.506394364
CHCHD2,0.689324675,0.698817393,0.695793976,0.748772301,0.715806102,0.661918787,0.818745873,0.779932851,0.69992485,0.724572242,0.739293942,0.726456457,0.743541479,0.740126078,0.803260521,0.77741379,0.643731986,0.628874471,0.652697962,0.627799453,0.814316316,0.791096643,0.795888932,0.811037424,0.790378639,0.818536156,0.791442789,0.853627592,0.817871858,0.831497091
CHD6,0.596264119,0.596553009,0.577174766,0.555232892,0.589239344,0.630853847,0.481812524,0.480128551,0.738195417,0.7293069,0.696715069,0.721991489,0.690814194,0.715212328,0.537568563,0.547614977,0.678171765,0.682514961,0.653508438,0.67476513,0.685571014,0.676134317,0.698620003,0.668313142,0.670665948,0.690222883,0.676428471,0.650658888,0.691746508,0.66126053
CHRNA4,0.079843912,0.089908058,0.04153749,0.030663945,0.070836273,0.087622327,0,0,0.428313826,0.440994396,0.425605647,0.408853,0.459219975,0.388400021,0,0,0.387307978,0.439127736,0.367636574,0.387542704,0.328104309,0.270769984,0.298811086,0.274125164,0.228170153,0.385414259,0.369441524,0.297955542,0.310262674,0.259675184
CHUK,0.546844351,0.528310469,0.561455657,0.572606968,0.58081987,0.533111378,0.491059031,0.496595731,0.562465187,0.552655353,0.537380352,0.568308588,0.563044294,0.54954703,0.467292307,0.440665992,0.590397642,0.573938611,0.566181489,0.555360836,0.544198482,0.55340272,0.581053811,0.554053881,0.57945177,0.579500829,0.601870288,0.574568802,0.582569158,0.569240117
CLN8,0.019757513,0.019270386,0,0.016119626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01764614,0,0,0,0,0,0.016080038,0,0,0
COL1A1,1.326529763,1.330897897,1.223527424,1.210076473,1.277847083,1.342478754,1.41200908,1.471602386,1.034861368,1.057396764,1.127239859,0.967389197,1.089946213,1.035453803,1.403240012,1.414527108,1.113126692,1.116452014,1.188662945,1.193177493,0.975787331,1.031709849,0.961681819,0.962637097,0.923245945,0.533115713,0.479790234,0.409032539,0.558259586,0.598615523
CPEB2,0.547915806,0.538063275,0.550369247,0.604031214,0.567942186,0.567181235,0.438529553,0.474424026,0.530076933,0.537407781,0.513957511,0.53995196,0.519759163,0.531234766,0.427551819,0.422712916,0.466113397,0.438237366,0.43944396,0.446247679,0.452589732,0.452027576,0.494988593,0.460218384,0.50614489,0.514489507,0.526031576,0.457503249,0.539852544,0.504426877
CRK,0.258749351,0.251739508,0.292195972,0.205434708,0.237163754,0.281222075,0.296150975,0.289324809,0.345585542,0.321163456,0.318253623,0.296943421,0.291027308,0.305560014,0.201551233,0.212766084,0.28964172,0.322706795,0.301029536,0.308797014,0.359698357,0.289810742,0.328506228,0.331042324,0.281193712,0.324878944,0.295488222,0.239571171,0.39513984,0.301127141
CRYAB,0.516539998,0.473795533,0.471021543,0.446029723,0.461362858,0.480809681,0.784944287,0.711403842,0.738534791,0.780882877,0.813976478,0.728442573,0.832089733,0.806450619,0.671523338,0.65021561,0.492181496,0.500762791,0.667021381,0.670160772,0.39659274,0.452027576,0.388953974,0.373498425,0.322113059,0.655691921,0.611972604,0.670737635,0.681508682,0.72145568
CRYGD,0,0,0,0,0,0,0,0,0.029119202,0,0.052321656,0,0,0,0,0,0,0,0.015422408,0,0.164254775,0.117416133,0.129638498,0.127446971,0.156951308,0,0.030592127,0,0.032831101,0
CYBA,0.691172438,0.666717653,0.640490879,0.658329506,0.640031817,0.687904522,0.599041468,0.588710992,0.232982756,0.203842979,0.192053057,0.25607583,0.276922775,0.192660674,0.561866514,0.56326218,0.374212873,0.316771431,0.348563495,0.35255746,0.452589732,0.395169726,0.410742775,0.453974143,0.379274251,0.438499143,0.369441524,0.471950178,0.455920351,0.445223968
CYBB,0,0.019270386,0.04153749,0.030663945,0,0,0,0,0.041789599,0.02830017,0.040861843,0.057357445,0.015038441,0.059995422,0,0,0,0.030504846,0,0.029272717,0.060701339,0.045787267,0.033512428,0.043394147,0.015530492,0.030556058,0.016080038,0,0.032831101,0.034662395
CYCS,0.700849111,0.684775574,0.679205346,0.722454772,0.676464505,0.69367889,0.657174768,0.673366894,0.697414494,0.718934577,0.728267605,0.723086259,0.712977266,0.711938602,0.560284832,0.57226777,0.738045106,0.747585376,0.758049609,0.741411504,0.737534309,0.752314991,0.728262619,0.744263459,0.756306733,0.777867801,0.769975692,0.766727279,0.762213316,0.765928355
CYGB,0.337713798,0.285554008,0.294424998,0.307069075,0.33708612,0.372747604,0.367320109,0.314022883,0.268715768,0.309924262,0.273229395,0.273789073,0.279368238,0.299089416,0.32206866,0.356549496,0.326171899,0.347650503,0.335483855,0.339900786,0.157901984,0.192410362,0.176514623,0.216200891,0.196777118,0.308712324,0.285839235,0.348641781,0.213964757,0.256221604
CYP1B1,0.422272095,0.423415226,0.403821137,0.483512545,0.451690607,0.459219589,0.676286333,0.723169445,0.425568196,0.380014101,0.386750355,0.431732163,0.380894181,0.432135655,0.71943614,0.705761005,0.42226457,0.410864581,0.462991974,0.437933565,0.282431088,0.356592185,0.340440871,0.339872525,0.347978983,0.055898462,0.067187666,0.050060298,0.032831101,0.062762088
CYP2E1,0.162936304,0.137628423,0.123188818,0.154884722,0.180021378,0.130495803,0.184011088,0.211793162,0.053466233,0.072567947,0.099241512,0.138060941,0.107818968,0.089740563,0.236797802,0.256453205,0.176320167,0.255158268,0.161825318,0.17694506,0.129376104,0,0.094273532,0.076957212,0.065228733,0.171529807,0.154635026,0.117332678,0.195385214,0.211768926
DAPK1,0.613033031,0.629097519,0.60818762,0.585180359,0.598612466,0.616828969,0.271394285,0.229530417,0.693338408,0.69790757,0.679416233,0.702346224,0.696965958,0.700549858,0.320088141,0.321493144,0.67943697,0.688791041,0.680593795,0.686497443,0.654103607,0.649217675,0.666581205,0.668879259,0.656198127,0.653599137,0.659781044,0.625225707,0.653709703,0.640797278
