,GSM4251054,GSM4251055,GSM4251056,GSM4251057,GSM4251058,GSM4251059,GSM4251060,GSM4251061,GSM4251062,GSM4251063,GSM4251064,GSM4251065,GSM4251066,GSM4251067,GSM4251068,GSM4251069,GSM4251070,GSM4251071,GSM4251072,GSM4251073,GSM4251074,GSM4251075,GSM4251076,GSM4251077,GSM4251078,GSM4251079,GSM4251080,GSM4251081,GSM4251082,GSM4251083
TOMM20,0.792672957,0.764818054,0.762708483,0.826452753,0.817858562,0.782363879,0.7277013,0.704534077,0.819308816,0.790611984,0.792220743,0.809271421,0.808059885,0.818255084,0.7083836,0.704039159,0.849467422,0.838483782,0.822882171,0.814680462,0.78598111,0.799000187,0.817666399,0.808329505,0.850339649,0.802134251,0.838282455,0.794000729,0.789498022,0.800583815
TOMM22,0.62463615,0.607746209,0.600168656,0.593643421,0.598845216,0.601870483,0.615956529,0.588109794,0.602597538,0.629802434,0.623177836,0.609171405,0.623632678,0.621001395,0.604057661,0.597009713,0.616007505,0.605240366,0.649826054,0.628989776,0.656862385,0.666677662,0.637610786,0.643252578,0.65193956,0.690387608,0.670330881,0.7089031,0.68263986,0.687199394
TOMM40,0.67795237,0.663881344,0.66316387,0.619968842,0.620052857,0.66910311,0.53615872,0.550246879,0.628376858,0.644914898,0.655289647,0.648127742,0.647982596,0.639261914,0.478717114,0.464814153,0.651529752,0.652056329,0.66940135,0.673363502,0.743509291,0.720112053,0.684697416,0.741628721,0.677404897,0.712529329,0.681588357,0.706589661,0.730428735,0.727187689
TOMM5,0.673194717,0.680355368,0.687177053,0.736921362,0.719058152,0.653260055,0.665741677,0.649454101,0.590891595,0.612727214,0.613301317,0.608878189,0.6087222,0.596189883,0.585125362,0.57226777,0.594909461,0.59869561,0.621635418,0.610857258,0.66889138,0.673631841,0.672662615,0.674243578,0.701818811,0.670138662,0.699525678,0.713918955,0.669287443,0.677400342
TOMM6,0.68234642,0.691863036,0.710854146,0.733248475,0.723152095,0.665725181,0.704067173,0.6528081,0.691490384,0.684521648,0.695984165,0.689249957,0.686777186,0.684782264,0.677251706,0.656104526,0.633458959,0.651417295,0.652900995,0.66011745,0.707861974,0.712981653,0.716797787,0.726176498,0.713014386,0.682961629,0.705899063,0.755595168,0.688170376,0.708950114
TOMM7,0.729937234,0.756212839,0.774973658,0.784101959,0.768271671,0.713286252,0.805981316,0.759858559,0.667862136,0.676105121,0.698454743,0.676948779,0.67617838,0.659403021,0.855593582,0.854344828,0.678679138,0.691751233,0.691943357,0.68762141,0.621267159,0.653500744,0.620550329,0.630897728,0.62346292,0.692024921,0.684188738,0.735464821,0.667010412,0.685447226
TOMM70,0.648730659,0.636160713,0.685424257,0.711822683,0.697310333,0.640871785,0.622358338,0.620712647,0.639985221,0.609637524,0.624840855,0.619360266,0.627899673,0.633420311,0.617099895,0.614845577,0.70119999,0.681820352,0.666651833,0.655029104,0.635070734,0.651487265,0.683555859,0.639629595,0.698545191,0.656106972,0.692054509,0.640516616,0.622908629,0.630116309
TSC2,0.686614559,0.708675637,0.644763439,0.589146214,0.633726675,0.698964673,0.593511953,0.556707172,0.744514916,0.765440652,0.756063601,0.755983715,0.768526263,0.754943864,0.627833917,0.64169093,0.778706628,0.78412766,0.772999226,0.780847251,0.739247326,0.731066438,0.71510755,0.733920432,0.690984569,0.747186778,0.724843953,0.698880993,0.739546553,0.724349254
TSG101,0.670171492,0.675799975,0.709632976,0.718812406,0.699810903,0.650636784,0.683693731,0.675224594,0.651971193,0.648765435,0.656057967,0.664148376,0.654378249,0.658517324,0.650950602,0.640590207,0.696780692,0.685431437,0.691474278,0.678382856,0.633480276,0.655048181,0.657763564,0.650670729,0.654387914,0.703461377,0.726275917,0.728474351,0.706694993,0.716451528
TUBA1A,1.041537232,1.052085893,1.091306104,1.086374857,1.078446115,1.029386698,1.011471783,0.988729418,1.180254874,1.183820014,1.194043018,1.174677323,1.184691284,1.18803518,0.913919752,0.909728173,1.207705853,1.212499146,1.22104847,1.224985189,1.17436468,1.196738923,1.186062924,1.181212332,1.17747333,1.306818505,1.317914176,1.32566359,1.286632349,1.306261863
TUBA1B,1.003743788,1.01335764,1.03941113,1.032965644,1.027185458,0.983499677,1.090308072,1.086037126,0.979913858,0.983529166,0.991108642,0.994998593,1.001578271,1.013958227,0.892545066,0.877898435,0.957967946,0.949643694,1.023625653,1.013941835,1.127309693,1.135053577,1.125025632,1.139192932,1.141354174,1.108737023,1.118894505,1.131382303,1.104308784,1.125069725
TUBA1C,0.905563017,0.90443183,0.912479065,0.907365308,0.906355951,0.89528663,0.924738991,0.92181431,0.540681448,0.56117894,0.596568172,0.55117348,0.574510613,0.567498196,0.775270731,0.761416779,0.692918368,0.686278468,0.738946261,0.724550868,0.864449154,0.899363806,0.875165618,0.856070354,0.878237409,0.788377843,0.793189126,0.804296949,0.7818821,0.794964272
TUBA3C,0,0,0,0,0,0,0,0,0,0,0.173699188,0.068807235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01731824,0
TUBA3D,0.019757513,0.019270386,0.015169656,0,0,0,0,0,0,0,0.173699188,0.107423027,0.028696898,0.022789877,0,0,0,0,0,0,0,0,0.017696678,0.015911162,0,0.016060159,0.016080038,0,0,0.034662395
TUBA3E,0,0,0.028936249,0,0.012424177,0,0,0,0,0,0.062962467,0.044953727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBA4A,0.148065542,0.243947153,0.238739853,0.171927232,0.183841394,0.206612577,0.225938472,0.200039519,0.137161489,0.106649724,0.285247779,0.25607583,0.107818968,0.154351982,0.187668657,0.162086868,0.209297418,0.221000826,0.234215015,0.219538649,0.197554491,0.223337067,0.164556724,0.195108999,0.178191254,0.067117128,0.016080038,0.06993215,0.059716809,0.049373855
TUBA4B,0,0,0,0,0,0,0,0,0,0,0.090966092,0.016538318,0,0,0,0,0,0,0,0,0,0,0,0,0.015530492,0,0,0,0,0
TUBA8,0.148065542,0.110862668,0.136540515,0.096726767,0.124376959,0.142423643,0.014419802,0.08197069,0.242751148,0.199823203,0.158278447,0.228613779,0.201509225,0.199267776,0.136013527,0.162086868,0.215099348,0.232094588,0.167209844,0.195467299,0.187260108,0.165582141,0.144601332,0.159437905,0.102429109,0.141976183,0.160529877,0.206342554,0.162283208,0.168339942
TUBAL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBB1,0,0.019270386,0,0.030663945,0.012424177,0,0,0.014848917,0.015270017,0.014821159,0.014901195,0,0.015038441,0,0.044074419,0,0,0,0,0.029272717,0,0.032031559,0,0,0,0.077549727,0.016080038,0.050060298,0.059716809,0.049373855
TUBB2B,0.915481506,0.910751195,0.91616803,0.880605022,0.878318491,0.909643475,0.276212393,0.256945006,0.952667241,0.977113744,0.978286191,0.947076763,0.967778999,0.963210569,0.22965436,0.264944308,0.961423168,0.974542026,0.966255505,0.970576635,0.989120645,0.989623147,0.965096289,0.970399678,0.969731285,1.056536517,1.03259617,1.045613781,1.032976907,1.027302736
TUBB3,0.865506755,0.864807002,0.834686365,0.807456823,0.806475771,0.855140456,0.754824603,0.743492217,0.898076407,0.923591408,0.940680782,0.905296344,0.938527173,0.917757571,0.630586867,0.625731751,0.957540092,0.972231325,0.979216252,0.996077377,0.967332849,0.95063946,0.917742009,0.946805419,0.896639773,1.082006453,1.049290123,1.084003877,1.064025711,1.066845037
TUBB4A,0.091719039,0.051636806,0.053155369,0.030663945,0.023891396,0.050163154,0.014419802,0.028350878,0.420876598,0.425708299,0.426502965,0.381810626,0.435702557,0.371093073,0,0,0.540858252,0.563142492,0.550089836,0.569797854,0.462149922,0.447667583,0.421105108,0.396290191,0.381818438,0.650618946,0.641494763,0.644499628,0.607870705,0.593258438
TUBB4B,0.816560425,0.805404507,0.802053976,0.768120996,0.771298194,0.798058311,0.844251223,0.831998345,0.777400567,0.807386594,0.807118027,0.789255305,0.806447546,0.806669829,0.730994068,0.718339477,0.722278522,0.730149679,0.794004949,0.782717536,0.889377198,0.878570674,0.857005654,0.88297056,0.856144103,0.87075532,0.844970906,0.897610161,0.865512471,0.872638702
TUBB6,0.877307769,0.873585103,0.851685325,0.865379812,0.860517417,0.880046775,0.909304649,0.899367164,0.740443444,0.763323234,0.778892675,0.743206536,0.754323662,0.768136637,0.811286809,0.801391027,0.724901175,0.725029445,0.790179499,0.781444893,0.790970548,0.789767309,0.764611789,0.780829103,0.76779645,0.739810993,0.724451016,0.747944849,0.769202352,0.782842634
TUBB8,0.052810072,0.065515448,0.100608058,0.096726767,0.099999316,0.07006715,0,0,0,0,0.040861843,0.016538318,0.015038441,0.022789877,0,0,0.058966143,0.055812052,0.015422408,0.053726873,0.03342152,0.058379389,0.047808948,0.015911162,0.015530492,0.016060159,0.030592127,0,0,0
UBA52,0.925797657,0.933373355,0.924865042,0.945157639,0.93876947,0.904781283,0.951481012,0.917455384,0.857722687,0.879676411,0.895528377,0.868478848,0.883511326,0.874193952,0.945725527,0.945055644,0.862480961,0.858162982,0.881799571,0.883273504,0.883972236,0.891346366,0.870284682,0.88319413,0.86471897,0.90109412,0.895827448,0.967674931,0.913102216,0.932316734
UBAP1,0.621737721,0.639007646,0.633616298,0.618369271,0.638613991,0.641274926,0.607994763,0.616291749,0.651971193,0.656180183,0.658339431,0.656885889,0.661072738,0.66489335,0.595206872,0.605915824,0.688479723,0.690113949,0.675800233,0.671057349,0.613244736,0.634570029,0.62514351,0.62620667,0.615272101,0.683996327,0.681413374,0.666729603,0.691746508,0.696938307
UBB,1.006569823,0.977411055,0.95291836,0.960505697,0.961879006,0.985069585,0.971094906,0.942995535,0.942476905,0.967988739,0.983926285,0.938467137,0.948576767,0.956794426,0.943648351,0.937483045,0.900019971,0.896762456,0.913519515,0.91208428,1.047191208,1.0346282,1.016281016,1.04382172,1.032416698,1.002941639,0.99487292,1.031504299,1.014459328,1.030967131
UBC,1.149620532,1.15555403,1.179988733,1.157688371,1.153420257,1.145860553,1.122648127,1.10615043,1.116997541,1.122206776,1.137053571,1.103912692,1.109771941,1.116689388,1.123041995,1.112719265,1.12212808,1.123919944,1.117445031,1.116040764,1.109902728,1.118747619,1.095659897,1.092629875,1.103485051,1.142969924,1.149866342,1.166080214,1.143338787,1.163112132
UBE2N,0.662457331,0.668347564,0.693686025,0.773230577,0.740298186,0.655105933,0.625117598,0.627570248,0.656938506,0.65863438,0.656631618,0.653008313,0.667658314,0.67947573,0.588452601,0.552484094,0.675608653,0.679009068,0.696857053,0.681582008,0.668681121,0.688228531,0.726841149,0.714027537,0.755692934,0.725823689,0.764865027,0.732228841,0.718074801,0.728660157
UBE2V1,0.230133654,0.212931956,0.165467736,0.209660786,0.180021378,0.182397393,0.149487843,0.08197069,0.160795723,0.140559561,0.121621997,0.13097178,0.122424712,0.145348134,0.097027407,0.102081111,0.196968159,0.128131125,0.101885507,0.143964589,0.103705736,0.187417408,0.197886467,0.165087202,0.156951308,0.242641197,0.182021142,0.256447938,0.252260471,0.269580015
ULK1,0.715236589,0.731252597,0.65611309,0.640264983,0.660131858,0.730167667,0.559130356,0.58352176,0.723445162,0.740848052,0.735633582,0.727519013,0.761736971,0.727259103,0.609011622,0.63241538,0.746150975,0.745443348,0.733022754,0.74340472,0.681186486,0.655267937,0.635252251,0.662726811,0.616320925,0.696515907,0.669004729,0.619758842,0.701656698,0.670850576
USP30,0.438702853,0.46131867,0.446852079,0.456718243,0.44789522,0.440300966,0.345178383,0.319606698,0.530534193,0.488894101,0.518849782,0.536652278,0.538351367,0.518150189,0.439645254,0.448088948,0.580942098,0.587324034,0.54304786,0.552218216,0.497237724,0.465963954,0.469168955,0.471264458,0.473874299,0.535928246,0.530437905,0.500353526,0.513681405,0.50704446
UVRAG,0.519798897,0.4937673,0.494722754,0.496211067,0.516094247,0.522774545,0.460710745,0.423276574,0.577188654,0.58041266,0.57243541,0.607403386,0.564482082,0.568585296,0.489327739,0.484331929,0.572404236,0.572495204,0.55329193,0.544895111,0.501822408,0.506780453,0.507331646,0.464735574,0.49827652,0.562638291,0.575115903,0.550027891,0.559981118,0.556768934
VDAC1,0.815943637,0.79229436,0.787763844,0.812273713,0.809672557,0.790121555,0.810839805,0.802341402,0.744188911,0.766442787,0.77315622,0.75466599,0.752411218,0.768561607,0.729597428,0.715025152,0.773035988,0.777684431,0.801298261,0.77981711,0.840588837,0.838973472,0.833764426,0.845117368,0.862182893,0.836677291,0.843090368,0.837212905,0.835162959,0.853388688
VIM,1.314183124,1.292353146,1.298676244,1.299291416,1.309682387,1.305061479,1.416307686,1.407194333,1.23894348,1.258713357,1.269421191,1.232466361,1.257265349,1.265082046,1.391213999,1.386663168,1.199945635,1.198447353,1.231189691,1.232311517,1.250695073,1.251473528,1.24643441,1.241732921,1.245574605,1.302031378,1.308017836,1.315091916,1.351974975,1.359324037
VPS28,0.586291286,0.560210714,0.547564884,0.51558732,0.530383744,0.57110151,0.634391349,0.583210808,0.64366199,0.651932533,0.666417985,0.664552872,0.684397386,0.671007623,0.65730182,0.660034318,0.71291896,0.729519193,0.699847788,0.703679872,0.638459553,0.627596447,0.586281918,0.647225803,0.595910536,0.674780741,0.647769778,0.719248062,0.665963778,0.671281944
VPS37A,0.62367626,0.605996783,0.654148759,0.665531326,0.637720947,0.612984601,0.569411264,0.557449111,0.530990054,0.538250408,0.55155812,0.529325356,0.536204418,0.543262222,0.559087451,0.533341091,0.576985163,0.579230139,0.563617388,0.577028434,0.546127079,0.544897097,0.548943658,0.54219429,0.573998548,0.563025918,0.571498229,0.564829778,0.538375798,0.564905002
VPS37B,0.612341888,0.609475326,0.583344001,0.559670715,0.56650434,0.617302613,0.567746303,0.565725919,0.62502537,0.655608041,0.6640764,0.65581887,0.666580738,0.659403021,0.545678063,0.558738145,0.657486778,0.659518249,0.660418087,0.667621263,0.676668978,0.669098702,0.64766363,0.68694902,0.642382212,0.722543351,0.685897443,0.698607928,0.740949895,0.72982774
VPS37C,0.535683291,0.535825279,0.510571103,0.501002111,0.485615659,0.544328916,0.468081853,0.493217073,0.546125168,0.554173189,0.556124202,0.561204884,0.565195805,0.528424791,0.475942007,0.48306496,0.512052521,0.507082838,0.560254472,0.56256912,0.562015256,0.569082429,0.520452296,0.568403903,0.547884886,0.539143793,0.500038614,0.48851726,0.51309636,0.534242432
VPS37D,0.279543646,0.259144412,0.30302181,0.267607907,0.282308177,0.182397393,0.232438823,0.146688116,0.417013937,0.437730469,0.468344747,0.450714322,0.45776254,0.413410098,0.273679667,0.231114514,0.433184452,0.482024757,0.407299302,0.433595755,0.326019518,0.327904902,0.28560326,0.325481502,0.297605093,0.442029467,0.411305504,0.450442752,0.46264987,0.44910247
WDR45,0.543032377,0.548257379,0.543879912,0.551500956,0.527032004,0.531437621,0.603321888,0.595742239,0.549378881,0.535708092,0.543214363,0.536652278,0.556396775,0.534674294,0.642725055,0.641031473,0.526800003,0.534727901,0.530208852,0.534981276,0.509979641,0.523640276,0.512237546,0.512534757,0.488743732,0.51068773,0.479110902,0.525950943,0.501520274,0.505085598
WDR45B,0.735948481,0.744879631,0.741411874,0.731753582,0.725853238,0.734105156,0.718983915,0.712975233,0.741776154,0.740091399,0.735970084,0.735631874,0.728626551,0.741149795,0.713017603,0.722349396,0.775964206,0.768343755,0.762490079,0.764210883,0.758630221,0.747309803,0.744466426,0.75168319,0.738546119,0.772653014,0.754729094,0.718771399,0.800024755,0.787849667
WIPI2,0.69055906,0.704010436,0.672889905,0.660365187,0.673676233,0.706687292,0.699298295,0.697621193,0.679557824,0.70396788,0.700459012,0.676203534,0.699732853,0.692756988,0.655424726,0.665927715,0.683904743,0.694493967,0.682933943,0.687940992,0.663325798,0.663802466,0.633658889,0.666218775,0.625932858,0.674780741,0.654841186,0.633491053,0.672940009,0.672995032
MRE11,0.504894025,0.460386164,0.498705415,0.498025814,0.498016315,0.50070107,0.458635484,0.471816825,0.470652502,0.467538267,0.436032372,0.46214588,0.466990531,0.461522178,0.383958506,0.417864931,0.415009405,0.40760972,0.437733417,0.412848746,0.526711382,0.529883855,0.577593322,0.548242082,0.56094591,0.437603332,0.454754756,0.431992677,0.436656649,0.444238356
DNA2,0.379440219,0.329731336,0.36526784,0.440825396,0.383107817,0.351804867,0.287617003,0.267677685,0.413048439,0.420243277,0.405393827,0.444651786,0.419574829,0.452356053,0.17763837,0.234527782,0.413514983,0.405399617,0.404099603,0.417824112,0.514786118,0.543508569,0.550817805,0.549086351,0.574691219,0.469073814,0.509216224,0.457503249,0.465903952,0.466260348
RPA1,0.722520419,0.723141803,0.730688569,0.732627426,0.736100598,0.727709161,0.665915019,0.702451754,0.727271902,0.735133215,0.737641284,0.726589692,0.72144446,0.731491433,0.606409472,0.632648623,0.643411422,0.64598263,0.688628354,0.670160772,0.796156349,0.799501355,0.808625785,0.806247039,0.799513786,0.704812438,0.729606822,0.691613375,0.720279216,0.725251459
RNF8,0.513208203,0.502479083,0.528614596,0.514514706,0.500737126,0.50070107,0.484178515,0.438007804,0.555294413,0.543614275,0.553477692,0.533764611,0.550621173,0.536028171,0.465800567,0.46695601,0.566606983,0.537505329,0.5484626,0.52194764,0.544198482,0.522573755,0.544152459,0.535890526,0.5362752,0.566847695,0.558895331,0.556552443,0.554311816,0.545179757
ATRIP,0,0.019270386,0.015169656,0.016119626,0.034538591,0.027183286,0.039645651,0,0,0,0.014901195,0,0.028696898,0,0,0,0,0.016031938,0.064841261,0.015354273,0.01764614,0,0.060852697,0.043394147,0.084987201,0.030556058,0.030592127,0.027123288,0.01731824,0.07504561
CCNA1,0.037198676,0.065515448,0.053155369,0.067328069,0.078679511,0.11752905,0,0,0.374247127,0.364664886,0.335694609,0.394713735,0.359844658,0.360531537,0,0,0.312022465,0.312678923,0.270017284,0.266762718,0.287953686,0.270769984,0.258404684,0.260159877,0.286070038,0.24593076,0.196321822,0.239571171,0.135261863,0.124715385
XRCC6,0.873036348,0.871112451,0.882923161,0.864406642,0.869928876,0.864154136,0.865205231,0.846128812,0.868916591,0.874756076,0.878033979,0.864364019,0.877641187,0.884545033,0.823523031,0.820857435,0.870448648,0.872767523,0.881055798,0.87631775,0.959209715,0.955575134,0.954050451,0.960205873,0.955636548,0.943045992,0.945725086,0.937028246,0.9535966,0.958885049
POLK,0.476741969,0.402879294,0.453081395,0.467431058,0.475320685,0.469770206,0.481812524,0.50472158,0.449416546,0.433547343,0.417276846,0.433647857,0.402551189,0.44132148,0.470231702,0.438107133,0.488595787,0.470975514,0.466578621,0.43621357,0.418439268,0.449426924,0.465911604,0.449112953,0.479216281,0.454569561,0.471426333,0.475658665,0.44614096,0.444238356
GEN1,0.395126237,0.354532181,0.37198924,0.456718243,0.437960806,0.418625142,0.289796768,0.35374197,0.416032415,0.368652997,0.35853795,0.408853,0.417670128,0.423784467,0.286705863,0.241128278,0.397683258,0.393828724,0.39860913,0.416842244,0.480352555,0.474333053,0.512839576,0.518338303,0.585999015,0.459304213,0.508099473,0.386390637,0.421191806,0.404850147
RAD50,0.541925081,0.495255107,0.539248633,0.557669897,0.568798278,0.534766537,0.592096896,0.612760204,0.589053573,0.568557093,0.55000445,0.560394259,0.530921857,0.563629627,0.592349602,0.595222699,0.540218057,0.545539787,0.547230401,0.541093971,0.567510147,0.554702403,0.563315399,0.558861083,0.613152036,0.556295027,0.597629382,0.520630651,0.530764144,0.523603353
RPA2,0.566933103,0.578644069,0.610325839,0.601651394,0.596264751,0.55476054,0.535328491,0.542269462,0.568601035,0.556792745,0.554238648,0.557521817,0.564839371,0.583516851,0.519369072,0.521044695,0.540218057,0.54812444,0.552099197,0.541947091,0.646730872,0.650129665,0.662677723,0.664676888,0.647767363,0.614272037,0.64710996,0.639300645,0.618062731,0.625795306
EXO1,0.385914153,0.374127272,0.379673975,0.37943143,0.391759659,0.346074431,0.383163786,0.460197026,0.385540743,0.357771171,0.342136735,0.384482214,0.397150166,0.405530932,0.087836881,0.029467552,0.357685623,0.328414695,0.383307899,0.36972934,0.53312031,0.528861263,0.541697802,0.549086351,0.551562053,0.438499143,0.488350683,0.436823821,0.438602437,0.435061469
TIMELESS,0.609897315,0.632964931,0.610855632,0.588492528,0.599309626,0.612007804,0.555902433,0.566075554,0.739660488,0.726484202,0.719270262,0.738732664,0.749650589,0.752915166,0.373190232,0.303510804,0.652438635,0.672111607,0.693650784,0.703104303,0.847017036,0.828162313,0.84010716,0.847180007,0.82345364,0.725953411,0.732616765,0.647225694,0.727955449,0.715814021
LIG3,0.485921804,0.524101312,0.525364407,0.484832232,0.489542355,0.522774545,0.441684935,0.418651306,0.63643981,0.637765788,0.626952099,0.632946588,0.605497941,0.619469866,0.38265428,0.397853569,0.611305352,0.626117294,0.615504225,0.639957473,0.662231236,0.669697863,0.653385009,0.656514049,0.64649257,0.590520438,0.582097883,0.568802118,0.593552725,0.572201336
RFC1,0.641219257,0.618804092,0.67007373,0.663367478,0.654637483,0.629116676,0.598497662,0.625006112,0.692878547,0.680372821,0.668017785,0.68526138,0.666760877,0.682026239,0.586465189,0.583702181,0.657194517,0.651203674,0.654314529,0.662597892,0.708023631,0.708287684,0.72755358,0.717056736,0.727322073,0.644249258,0.677330955,0.611162887,0.648132784,0.637321362
